,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
0,-0.38707572,-0.19607843,-0.50898206,-0.66186035,-0.56588703,-0.73494583,-0.496112,-0.5536652,-0.619709,-0.2707717,-0.49892125,-0.4687138,-0.523395,-0.5845168,-0.36236835,-0.58511627,-0.56920016,-0.34102643,-0.6647332,-0.7007424,-0.5859529,-0.42813733,-0.6171397,0.34547737,0.47532466,0.38922155,0.35253456,0.29205608,0.3562341,0.331307,0.3511236,0.28633094,0.30674848,0.01891551,0.045783132,0.21715076,0.3126935,0.09950249,0.09803922,0.30201343,0.22727273,0.4728406,0.4428224,0.2761788
1,-0.40844214,-0.3629498,-0.46676046,-0.6487625,-0.6194715,-0.70040053,-0.52158636,-0.6064826,-0.6181001,-0.27566203,-0.52958727,-0.49199763,-0.576183,-0.5879108,-0.4098453,-0.60011816,-0.5977514,-0.38274464,-0.6772429,-0.740239,-0.6001904,-0.44289044,-0.6755793,0.3659751,0.30800822,0.22508399,0.2080537,0.2,0.10820452,0.0872093,0.09570041,0.1871345,0.08029197,-0.06313131,-0.104829215,0.0705036,0.21269841,0.21193093,0.14626865,0.19831224,0.12441315,0.28462377,0.20044793,0.32160804
2,-0.49735892,-0.41968912,-0.4965898,-0.572714,-0.57743096,-0.618783,-0.53334874,-0.64764863,-0.6885656,-0.2697157,-0.47548676,-0.46424386,-0.55157995,-0.5812202,-0.4037864,-0.5594736,-0.5424837,-0.37783712,-0.66803914,-0.6351094,-0.6068557,-0.44558743,-0.5287042,0.2007147,0.21275212,0.19626169,0.07409836,0.07324365,0.05978706,-0.032,-0.0501355,-0.063039154,-0.08643617,-0.18219177,-0.1590909,-0.090692125,-0.04918033,-0.06517169,-0.11157895,-0.099951245,0.06009245,0.18421052,0.1230893,0.18367347
3,-0.2771661,-0.39295077,-0.4717169,-0.6748201,-0.6532457,-0.6883446,-0.5238883,-0.64261633,-0.7162702,-0.26030996,-0.52977365,-0.48201776,-0.53555554,-0.59675235,-0.4068802,-0.6995362,-0.6215726,-0.37544867,-0.46616304,-0.7272394,-0.6347635,-0.43717217,-0.5613831,0.35985085,0.41421947,0.24860853,0.3118971,0.2902564,0.22644928,0.21066667,0.102135025,0.1575,0.18961625,-0.042226486,-0.27948004,0.14590748,-0.071274295,-0.04332553,0.028571429,0.23636363,-0.015576324,0.39862543,0.289012,0.33743086
4,-0.41305998,-0.46258876,-0.51330453,-0.67385924,-0.3115798,-0.33709082,-0.43381575,-0.615188,-0.710839,-0.38441503,-0.5328814,-0.4406115,-0.63603,-0.56229115,-0.37044147,-0.72701496,-0.6380502,-0.35302997,-0.6543581,-0.5256518,-0.63957477,-0.4384515,-0.51043916,0.25182724,0.21890908,0.14538153,0.1328125,0.11638955,0.104150355,-0.09834639,0.014950166,0.054744527,0.026244344,-0.147929,-0.13808802,0.021349274,-0.06482899,-0.20335245,-0.14404224,-0.1204125,0.13770492,0.18858954,0.1485623,0.23506989
5,-0.54985386,-0.5649047,-0.6197271,-0.71255744,-0.7445469,-0.7353862,-0.5520238,-0.6966292,-0.75639856,-0.33114445,-0.58052075,-0.573796,-0.72858065,-0.71087533,-0.5094446,-0.683275,-0.72300345,-0.25922903,-0.7702735,-0.7691901,-0.6837357,-0.4941439,-0.71704376,-0.047955576,-0.011991279,-0.058808777,-0.11294766,-0.052,-0.07314714,-0.06757391,-0.2167649,-0.013767209,-0.041739564,-0.05366555,-0.08757298,-0.04965121,0.035840187,0.036819812,0.13591433,0.045341305,-0.049490836,-0.001666453,-0.080827676,-0.06085929
6,-0.44304603,-0.49472204,-0.53927624,-0.6632414,-0.6861506,-0.7399242,-0.608619,-0.668154,-0.73498535,-0.29243094,-0.49707094,-0.5091067,-0.66648734,-0.61764026,-0.43622047,-0.68381774,-0.647083,-0.39555556,-0.7498279,-0.74444234,-0.67024857,-0.4439304,-0.6464687,0.23090746,0.26838967,0.29809725,0.25720876,0.15450644,0.14051522,0.24018839,0.28442436,0.32054177,0.29290617,0.08839779,-0.04832105,0.21467099,0.24786325,0.17466064,0.17068645,0.2803104,0.1251337,0.3100616,0.35158816,0.28515318
7,-0.5778636,-0.44945055,-0.43696684,-0.43798974,-0.11583843,-0.47474748,-0.5488372,-0.6361899,-0.7286307,-0.2707017,-0.49641147,-0.45849946,-0.64422727,-0.59173554,-0.3987879,-0.58312446,-0.6853882,-0.34160733,-0.755818,-0.65587217,-0.52806026,-0.35889673,-0.6348904,0.1272509,0.1256584,0.09137931,0.13035552,0.114754096,0.30279502,0.041869354,-0.14330137,-0.09521681,-0.22121844,0.0018371096,-0.06482643,-0.12031952,-0.05851064,0.0115440115,-0.10788643,-0.11297611,0.07174888,0.122689076,0.114720814,0.37
8,-0.41084084,-0.54928684,-0.4984382,-0.6957358,-0.6973918,-0.68654406,-0.754655,-0.6442222,-0.71328545,-0.27503398,-0.49489218,-0.11800902,-0.53705037,-0.6105186,-0.41048545,-0.6912568,-0.54614604,-0.40459946,-0.7716744,-0.7002288,-0.6315353,-0.45820832,-0.65198326,0.1261574,0.06859756,0.018597998,0.033860046,-0.07643312,-0.22577566,-0.101746604,-0.09145608,0.08377358,0.091331266,-0.048791822,-0.08579466,0.0794702,0.12578617,0.11928651,0.1246138,0.14739229,0.04933982,0.090771556,0.012048192,0.05610179
9,-0.5609643,-0.558146,-0.5784478,-0.68873495,-0.703256,-0.69012374,-0.7745296,-0.685731,-0.73612195,-0.32968602,-0.55271846,-0.5578263,-0.57820976,-0.5825179,-0.4447789,-0.6322076,-0.7080628,-0.3808329,-0.727444,-0.73856515,-0.6943119,-0.4682735,-0.75774515,0.28324568,0.16523236,0.12643678,0.066030234,0.03668862,0.110552765,0.036734693,0.05478332,0.13974592,0.08762421,-0.09750567,-0.114967465,0.07832423,0.14944835,0.1030303,0.0741483,0.11047619,0.06378987,0.17924528,0.034234233,0.28232905
